"Descrição","Tipo de Crime"
"Um líder religioso abusa sexualmente de um fiel durante uma sessão de aconselhamento","Estupro"
"Um homem embriagado estupra uma mulher inconsciente em uma festa","Estupro"
"Um professor abusa sexualmente de um aluno em troca de notas melhores","Estupro"
"Um padrasto estupra sua enteada repetidamente ao longo de vários anos","Estupro"
"Um estranho droga uma pessoa e a estupra enquanto ela está inconsciente","Estupro"
"Um grupo de homens ataca e estupra uma mulher que está voltando para casa do trabalho","Estupro"
"Um médico abusa sexualmente de uma paciente durante um exame médico","Estupro"
"Um conhecido aproveita-se de uma situação vulnerável e estupra a vítima","Estupro"
"Um treinador de esportes estupra um atleta menor de idade durante um treinamento","Estupro"
"Um líder comunitário abusa sexualmente de uma pessoa que busca ajuda e orientação","Estupro"
"Um homem manipula uma mulher emocionalmente e a estupra quando ela está vulnerável","Estupro"
"Um grupo de estudantes estupra uma colega durante uma festa universitária","Estupro"
"Um cliente de um bar força uma garçonete a ter relações sexuais nos fundos do estabelecimento","Estupro"
"Um membro da gangue estupra uma pessoa como parte de uma iniciação no grupo","Estupro"
"Um parceiro usa coerção e ameaças para obrigar a outra pessoa a ter relações sexuais","Estupro"
"Um estranho invade a casa de uma pessoa e a estupra durante um assalto","Estupro"
"Um membro do clero abusa sexualmente de uma criança em uma instituição religiosa","Estupro"
"Um criminoso sequestra uma vítima e a estupra enquanto está em cativeiro","Estupro"
"Um membro do serviço militar estupra uma colega de tropa durante uma missão","Estupro"
"Um colega de quarto força sexualmente o outro companheiro de quarto em casa","Estupro"
"Um homem oferece carona a uma pessoa e a estupra durante o trajeto","Estupro"
"Um gerente de empresa abusa sexualmente de um funcionário em troca de promoções","Estupro"
"Um cliente de um salão de beleza força uma esteticista a ter relações sexuais no local de trabalho","Estupro"
"Um mentor profissional abusa sexualmente de um estagiário em troca de oportunidades de trabalho","Estupro"
"Um segurança de boate abusa sexualmente de uma cliente em um local lotado","Estupro"
"Um parente próximo estupra uma criança enquanto os pais estão ausentes","Estupro"
"Um vizinho invadiu a casa da vítima e a estuprou","Estupro"
"Um membro de uma gangue estupra uma pessoa para provar sua lealdade ao grupo","Estupro"
"Um colega de equipe abusa sexualmente de um atleta durante um treinamento","Estupro"
"Um tutor particular abusa sexualmente de um aluno em troca de notas melhores","Estupro"
"Um cliente de um massagista abusa sexualmente do profissional durante a sessão","Estupro"
"Um treinador de academia abusa sexualmente de um cliente durante uma sessão de treino","Estupro"
"Um membro da polícia abusa sexualmente de um detido sob custódia","Estupro"
"Um líder político abusa sexualmente de um eleitor em troca de apoio político","Estupro"
"Um médico abusa sexualmente de um paciente em um consultório médico","Estupro"
"Um instrutor de autoescola abusa sexualmente de um aluno durante uma aula prática","Estupro"
"Um tutor particular abusa sexualmente de um aluno menor de idade em sua casa","Estupro"
"Um instrutor de dança abusa sexualmente de um aluno durante uma aula particular","Estupro"
"Um membro de uma organização criminosa estupra uma pessoa como parte de uma punição","Estupro"
"Um colega de trabalho usa drogas para facilitar o estupro de uma colega","Estupro"
"Um colega de faculdade abusa sexualmente de um estudante durante uma festa","Estupro"
"Um parceiro estupra o outro durante um relacionamento abusivo","Estupro"
"Um grupo de adolescentes picha grafites em uma parede histórica da cidade","Vandalismo"
"Um indivíduo quebra os vidros de carros estacionados na rua durante a noite","Vandalismo"
"Um manifestante quebra as janelas de uma loja durante um protesto","Vandalismo"
"Um grupo de jovens danifica uma escultura pública em um parque da cidade","Vandalismo"
"Um indivíduo risca insultos e palavrões em bancos de uma praça pública","Vandalismo"
"Um grupo de pessoas arranca flores e plantas de um jardim comunitário","Vandalismo"
"Um vândalo picha mensagens ofensivas em uma escola durante as férias","Vandalismo"
"Um indivíduo quebra os espelhos de banheiros públicos em um parque","Vandalismo"
"Um grupo de pessoas incendeia lixeiras em uma área residencial","Vandalismo"
"Um indivíduo danifica placas de trânsito em uma rua movimentada","Vandalismo"
"Um manifestante picha slogans políticos em prédios do governo","Vandalismo"
"Um grupo de jovens quebra as luminárias de um parque à noite","Vandalismo"
"Um indivíduo rabisca pichações em um monumento histórico da cidade","Vandalismo"
"Um grupo de pessoas depreda equipamentos de uma praça de recreação infantil","Vandalismo"
"Um vândalo joga pedras nas vitrines de lojas durante uma noite de protestos","Vandalismo"
"Um indivíduo desfigura uma estátua pública com tinta spray","Vandalismo"
"Um grupo de adolescentes destrói os bancos de uma parada de ônibus","Vandalismo"
"Um manifestante picha muros de residências em uma rua comercial","Vandalismo"
"Um indivíduo quebra as luzes de um campo de futebol durante a madrugada","Vandalismo"
"Um grupo de pessoas danifica os equipamentos de um parquinho infantil","Vandalismo"
"Um vândalo joga tinta em carros estacionados ao longo da rua","Vandalismo"
"Um indivíduo picha slogans de ódio em um centro comunitário","Vandalismo"
"Um grupo de jovens quebra os bancos de uma praça central da cidade","Vandalismo"
"Um manifestante quebra os vidros de uma agência bancária durante uma manifestação","Vandalismo"
"Um indivíduo arranca plantas de vasos decorativos em uma calçada","Vandalismo"
"Um grupo de pessoas atira pedras em janelas de residências à beira da estrada","Vandalismo"
"Um vândalo picha símbolos obscenos em um templo religioso","Vandalismo"
"Um indivíduo rasga cartazes de propaganda eleitoral durante a noite","Vandalismo"
"Um grupo de jovens quebra os refletores de um campo de futebol society","Vandalismo"
"Um manifestante picha slogans políticos em placas de trânsito","Vandalismo"
"Um indivíduo quebra os espelhos de um banheiro público em um parque","Vandalismo"
"Um grupo de pessoas danifica os bancos de uma estação de trem","Vandalismo"
"Um vândalo picha insultos em uma escola durante as férias escolares","Vandalismo"
"Um indivíduo quebra os relógios de rua em uma área comercial","Vandalismo"
"Um grupo de jovens incendeia um contêiner de lixo em uma rua residencial","Vandalismo"
"Um manifestante picha mensagens de protesto em prédios do centro da cidade","Vandalismo"
"Um indivíduo quebra as janelas de um ônibus durante uma manifestação","Vandalismo"
"Um grupo de pessoas depreda uma escultura de arte urbana em uma avenida","Vandalismo"
"Um vândalo arranca as flores de canteiros em uma área verde da cidade","Vandalismo"
"Um indivíduo picha grafites em uma parede recém-pintada de uma empresa","Vandalismo"
"Um grupo de jovens quebra os bancos de uma praça próxima a uma escola","Vandalismo"
"Um manifestante quebra os vidros de uma estação de metrô durante um protesto","Vandalismo"
"Um indivíduo rasga os cartazes de uma exposição de arte ao ar livre","Vandalismo"
"Um grupo de pessoas atira ovos em carros estacionados em uma rua residencial","Vandalismo"
"Um vândalo picha palavrões em um ônibus de transporte público","Vandalismo"
"Um indivíduo quebra os espelhos de um banheiro feminino em um parque","Vandalismo"
"Um grupo de jovens depreda as mesas e cadeiras de um quiosque de praia","Vandalismo"
"Um homem agride fisicamente outro homem em uma briga de bar","Agressão"
"Um grupo de adolescentes ataca verbalmente e fisicamente um colega na saída da escola","Agressão"
"Um motorista insulta e agride outro motorista após uma discussão de trânsito","Agressão"
"Um cliente irritado agride um funcionário de uma loja durante uma discussão","Agressão"
"Um indivíduo agride seu parceiro durante uma discussão doméstica","Agressão"
"Um segurança de boate agride um frequentador após uma confusão","Agressão"
"Um estudante agride outro estudante durante um conflito em sala de aula","Agressão"
"Um torcedor invade o campo e agride um jogador durante uma partida de futebol","Agressão"
"Um assaltante agride um pedestre durante um roubo","Agressão"
"Um indivíduo agride um policial durante uma abordagem","Agressão"
"Um pai agride seu filho com violência após uma discussão familiar","Agressão"
"Um morador de rua é agredido por um grupo de jovens em uma praça","Agressão"
"Um paciente agride um médico em um hospital durante uma crise emocional","Agressão"
"Um aluno agride um professor em uma escola durante uma briga","Agressão"
"Um homem agride sua esposa durante uma discussão em casa","Agressão"
"Um criminoso agride um idoso durante um assalto","Agressão"
"Um indivíduo agride verbalmente e fisicamente um estranho em um bar","Agressão"
"Um participante de uma manifestação agride um policial durante um protesto","Agressão"
"Um cliente agride um garçom em um restaurante após uma reclamação","Agressão"
"Um indivíduo agride um pedestre em uma briga de trânsito","Agressão"
"Um pai agride seu filho adolescente após uma discussão familiar","Agressão"
"Um aluno agride um colega de classe durante um confronto escolar","Agressão"
"Um motorista agride outro motorista após um acidente de trânsito","Agressão"
"Um indivíduo agride verbalmente e fisicamente um passageiro em um ônibus","Agressão"
"Um jovem agride um idoso em um parque durante uma discussão","Agressão"
"Um cliente agride um funcionário de uma loja durante um desentendimento","Agressão"
"Um criminoso agride um policial durante uma tentativa de fuga","Agressão"
"Um indivíduo agride um vizinho após uma discussão por causa do barulho","Agressão"
"Um atleta agride um árbitro durante uma partida esportiva","Agressão"
"Um pai agride seu filho por um mau comportamento","Agressão"
"Um homem agride verbal e fisicamente sua esposa em casa","Agressão"
"Um indivíduo agride um segurança em um evento público","Agressão"
"Um jovem agride um idoso durante uma discussão política","Agressão"
"Um indivíduo agride verbal e fisicamente um desconhecido na rua","Agressão"
"Um aluno agride um professor durante uma briga na escola","Agressão"
"Um homem agride sua namorada após uma discussão","Agressão"
"Um criminoso agride um policial durante uma tentativa de prisão","Agressão"
"Um indivíduo agride um vizinho após uma discussão por causa de um animal de estimação","Agressão"
"Um torcedor agride um jogador de um time adversário durante um jogo de futebol","Agressão"
"Um cliente agride verbal e fisicamente um atendente de telemarketing","Agressão"
"Um indivíduo agride um mendigo em uma praça","Agressão"
"Um homem agride verbalmente e fisicamente um estranho em um bar","Agressão"
"Um participante de uma festa agride um segurança após ser expulso","Agressão"
"Um indivíduo agride um colega de trabalho durante uma discussão","Agressão"
"Um cliente agride um caixa em um supermercado após uma discussão sobre o troco","Agressão"
"Um criminoso agride um policial durante uma operação de resgate","Agressão"
"Um pai agride seu filho por chegar tarde em casa","Agressão"
"Um indivíduo agride verbal e fisicamente um passageiro em um metrô","Agressão"
"Um indivíduo armado rouba dinheiro de um caixa de banco","Roubo"
"Um assaltante rouba joias de uma joalheria durante o horário de expediente","Roubo"
"Um criminoso rouba bolsas de pedestres em uma rua movimentada à noite","Roubo"
"Um grupo de assaltantes rouba eletrônicos de uma loja de eletrônicos após arrombar a porta","Roubo"
"Um indivíduo armado rouba celulares de passageiros em um ônibus lotado","Roubo"
"Um assaltante rouba um carro em um estacionamento usando uma arma","Roubo"
"Um criminoso rouba dinheiro e pertences de clientes em um restaurante durante o jantar","Roubo"
"Um ladrão rouba carteiras de frequentadores de um parque público durante o dia","Roubo"
"Um assaltante rouba uma residência durante a ausência dos moradores","Roubo"
"Um grupo de criminosos rouba mercadorias de um caminhão de carga em movimento","Roubo"
"Um indivíduo armado rouba celulares e dinheiro de frequentadores de uma praça à noite","Roubo"
"Um assaltante rouba computadores de uma empresa após invadir o prédio durante a noite","Roubo"
"Um criminoso rouba dinheiro de um posto de gasolina durante um assalto à mão armada","Roubo"
"Um ladrão rouba malas de passageiros em um terminal de ônibus enquanto estão distraídos","Roubo"
"Um indivíduo armado rouba joias de uma vitrine de uma loja de luxo durante o dia","Roubo"
"Um assaltante rouba dinheiro de uma farmácia durante o expediente usando uma faca","Roubo"
"Um criminoso rouba bolsas de uma academia enquanto os clientes estão se exercitando","Roubo"
"Um ladrão rouba celulares de clientes em um café movimentado durante a tarde","Roubo"
"Um indivíduo armado rouba dinheiro de um caixa eletrônico em um banco","Roubo"
"Um assaltante rouba carteiras de clientes em um bar após um anúncio de última chamada","Roubo"
"Um criminoso rouba bicicletas de um bicicletário de uma estação de metrô","Roubo"
"Um ladrão rouba dinheiro e objetos de valor de turistas em um ponto turístico","Roubo"
"Um indivíduo armado rouba relógios de uma loja de departamentos durante uma liquidação","Roubo"
"Um assaltante rouba pertences de banhistas em uma praia lotada durante o verão","Roubo"
"Um criminoso rouba laptops de uma sala de conferências durante um evento corporativo","Roubo"
"Um ladrão rouba celulares de pedestres em uma avenida movimentada durante o dia","Roubo"
"Um indivíduo armado rouba dinheiro e documentos de um escritório de advocacia","Roubo"
"Um assaltante rouba comida e bebida de um quiosque em um parque de diversões","Roubo"
"Um criminoso rouba malotes de dinheiro de um carro-forte em uma rodovia","Roubo"
"Um ladrão rouba câmeras fotográficas de turistas em um ponto de vista panorâmico","Roubo"
"Um indivíduo armado rouba bolsas de uma fila de clientes em uma casa de câmbio","Roubo"
"Um assaltante rouba celulares de passageiros em um trem lotado durante a hora do rush","Roubo"
"Um criminoso rouba dinheiro e jóias de um apartamento após arrombar a porta","Roubo"
"Um ladrão rouba equipamentos eletrônicos de um escritório durante a madrugada","Roubo"
"Um indivíduo armado rouba dinheiro e cartões de crédito de um entregador de pizza","Roubo"
"Um assaltante rouba carteiras de clientes em uma casa de shows durante um show ao vivo","Roubo"
"Um criminoso rouba laptops de uma universidade durante as férias escolares","Roubo"
"Um ladrão rouba celulares de clientes em uma loja de conveniência durante a noite","Roubo"
"Um indivíduo armado rouba dinheiro e mercadorias de uma loja de conveniência 24 horas","Roubo"
"Um assaltante rouba documentos e dinheiro de uma vítima em um ponto de ônibus","Roubo"
"Um criminoso rouba bicicletas de um bicicletário em uma estação de trem","Roubo"
"Um ladrão rouba jóias de uma residência durante uma festa de aniversário","Roubo"
"Um indivíduo armado rouba dinheiro e bolsas de um evento beneficente em um hotel","Roubo"
"Um assaltante rouba celulares de pedestres em uma rua residencial à noite","Roubo"
"Um criminoso rouba equipamentos de som de um carro estacionado em uma rua deserta","Roubo"
"Um ladrão rouba carteiras de clientes em um restaurante de fast food durante o almoço","Roubo"
"Um indivíduo armado rouba dinheiro e pertences de um táxi durante uma corrida","Roubo"
"Um assaltante rouba celulares de clientes em uma fila de cinema durante uma estreia","Roubo"
"Um criminoso rouba laptops de uma cafeteria durante o expediente","Roubo"
"Um ladrão rouba dinheiro e objetos de valor de uma feira ao ar livre","Roubo"
"Um empresário recebe uma carta ameaçadora exigindo dinheiro em troca de proteção contra incêndio em seu estabelecimento","Extorsão"
"Um político é chantageado por um adversário político que ameaça expor escândalos pessoais se não renunciar ao cargo","Extorsão"
"Um fazendeiro recebe uma ligação exigindo pagamento em troca de não envenenar seu rebanho","Extorsão"
"Um executivo de uma empresa é ameaçado de ter seus sistemas de computador hackeados se não pagar uma quantia em dinheiro","Extorsão"
"Um artista famoso recebe ameaças de violência se não pagar uma grande quantia em dinheiro para um grupo de criminosos","Extorsão"
"Um comerciante recebe uma visita de um gangster local exigindo pagamento em troca de proteção contra vandalismo","Extorsão"
"Um casal recebe uma carta ameaçadora exigindo dinheiro em troca da segurança de seu filho sequestrado","Extorsão"
"Um advogado é ameaçado por um cliente insatisfeito que exige reembolso de honorários advocatícios sob a ameaça de expor informações confidenciais","Extorsão"
"Um empresário recebe uma ligação anônima exigindo pagamento em troca de não revelar segredos comerciais para concorrentes","Extorsão"
"Um investidor recebe ameaças de violência se não concordar em investir uma quantia específica em um negócio ilegal","Extorsão"
"Um médico é chantageado por um paciente que ameaça processá-lo por erro médico se não pagar uma quantia em dinheiro","Extorsão"
"Um morador de um bairro é ameaçado de ter sua casa incendiada se não pagar uma taxa de proteção para uma gangue local","Extorsão"
"Um jornalista recebe uma mensagem de e-mail exigindo pagamento em troca de não divulgar informações comprometedoras","Extorsão"
"Um empresário recebe ameaças de sabotagem se não pagar uma quantia em dinheiro para um concorrente desonesto","Extorsão"
"Um estudante universitário é ameaçado de ter suas notas alteradas se não pagar um hacker para invadir o sistema da universidade","Extorsão"
"Um comerciante é chantageado por um fornecedor que ameaça interromper o fornecimento de mercadorias essenciais se não receber um aumento nos pagamentos","Extorsão"
"Um motorista de táxi é ameaçado por um passageiro que exige uma taxa de proteção em troca de não danificar seu veículo","Extorsão"
"Um empresário recebe uma visita de um agiota local que exige pagamento de juros exorbitantes sob ameaça de violência","Extorsão"
"Um político é ameaçado por um grupo terrorista que exige uma grande soma de dinheiro para evitar um ataque planejado","Extorsão"
"Um proprietário de uma loja é chantageado por um funcionário desonesto que exige um aumento salarial sob ameaça de roubar mercadorias","Extorsão"
"Um empresário recebe ameaças de boicote se não concordar em pagar uma quantia em dinheiro para um sindicato criminoso","Extorsão"
"Um artista é chantageado por um fã obsessivo que exige dinheiro em troca de não machucar sua família","Extorsão"
"Um investidor recebe ameaças de sequestro se não concordar em financiar um projeto ilegal","Extorsão"
"Um advogado é ameaçado por um cliente insatisfeito que exige pagamento em troca de não prejudicar sua reputação profissional","Extorsão"
"Um empresário é ameaçado de ter sua propriedade vandalizada se não concordar em pagar uma quantia em dinheiro para uma gangue local","Extorsão"
"Um empresário recebe uma carta ameaçadora exigindo pagamento em troca de não ser alvo de uma campanha difamatória nas redes sociais","Extorsão"
"Um político é chantageado por um grupo de ativistas que exige dinheiro em troca de não revelar escândalos políticos","Extorsão"
"Um comerciante recebe ameaças de sabotagem se não concordar em pagar uma quantia em dinheiro para uma empresa concorrente","Extorsão"
"Um executivo de uma empresa é ameaçado de ter seus registros financeiros expostos se não concordar em pagar uma quantia em dinheiro","Extorsão"
"Um indivíduo atira em outro durante um assalto a uma loja","Homicídio"
"Um marido estrangula sua esposa durante uma briga doméstica","Homicídio"
"Um motorista bêbado atropela e mata um pedestre na calçada","Homicídio"
"Um grupo de criminosos mata um rival de gangue durante um tiroteio","Homicídio"
"Um médico administra uma dose letal de medicamento a um paciente terminal a pedido deste","Homicídio"
"Um indivíduo esfaqueia outro em uma discussão de trânsito","Homicídio"
"Um pai abusivo espanca seu filho até a morte por um motivo fútil","Homicídio"
"Um adolescente atira em um colega de escola durante um confronto","Homicídio"
"Um criminoso contratado mata uma testemunha de um caso criminal para evitar depoimento","Homicídio"
"Um membro de uma gangue mata um membro de uma gangue rival em retaliação","Homicídio"
"Um indivíduo envenena outra pessoa por motivos financeiros","Homicídio"
"Um serial killer estrangula sua vítima como parte de sua série de assassinatos","Homicídio"
"Um dono de negócio mata um concorrente para eliminar a competição","Homicídio"
"Um cônjuge mata o outro em um acesso de ciúmes","Homicídio"
"Um indivíduo atira em seu desafeto durante uma briga de bar","Homicídio"
"Um psicopata mata um estranho apenas pela emoção do assassinato","Homicídio"
"Um membro de uma máfia ordena o assassinato de um informante","Homicídio"
"Um terrorista detona uma bomba em um local lotado, resultando em várias mortes","Homicídio"
"Um dono de empresa ordena o assassinato de um funcionário insubordinado","Homicídio"
"Um indivíduo mata um vizinho em uma briga por causa de barulho","Homicídio"
"Um membro de uma gangue mata um civil inocente em um tiroteio","Homicídio"
"Um assassino de aluguel elimina um alvo designado por um cliente","Homicídio"
"Um pai negligente deixa seu filho morrer de fome e exposição","Homicídio"
"Um indivíduo afoga outra pessoa durante uma discussão em um lago","Homicídio"
"Um líder de um cartel ordena o assassinato de um policial que está investigando suas atividades","Homicídio"
"Um jovem mata um rival de gangue em uma disputa territorial","Homicídio"
"Um criminoso mata um motorista de caminhão durante um assalto à carga","Homicídio"
"Um psicopata ataca e mata uma pessoa aleatória em um parque à noite","Homicídio"
"Um indivíduo atropela deliberadamente um pedestre em uma briga de trânsito","Homicídio"
"Um grupo de terroristas realiza um ataque em massa em um prédio governamental","Homicídio"
"Um adolescente comete homicídio como parte de um ritual de iniciação em uma gangue","Homicídio"
"Um motorista de táxi mata seu passageiro durante um assalto","Homicídio"
"Um líder de uma seita religiosa sacrifica um seguidor em um ritual macabro","Homicídio"
"Um instrutor de academia mata um aluno por desrespeitar as regras","Homicídio"
"Um indivíduo envenena a comida de seu cônjuge para obter uma herança","Homicídio"
"Um serial killer estrangula uma vítima como parte de um padrão de assassinatos em série","Homicídio"
"Um empresário mata um sócio comercial para assumir o controle total da empresa","Homicídio"
"Um soldado mata um civil inocente durante um conflito armado","Homicídio"
"Um policial corrupto mata um informante para encobrir suas atividades ilegais","Homicídio"
"Um membro de uma gangue mata um rival em um acerto de contas","Homicídio"
"Um caçador furtivo mata um guarda florestal para evitar ser preso","Homicídio"
"Um indivíduo mata um concorrente em uma disputa de negócios","Homicídio"
"Um terrorista dispara indiscriminadamente em uma multidão durante um evento público","Homicídio"
"Um pai negligente deixa seu filho morrer de frio em um inverno rigoroso","Homicídio"
"Um traficante de drogas mata um devedor que não conseguiu pagar suas dívidas","Homicídio"
"Um líder de uma gangue ordena o assassinato de um traidor","Homicídio"
"Um motorista de ônibus perde o controle e atropela um grupo de pedestres","Homicídio"
"Um dono de loja atira em um ladrão durante uma tentativa de assalto","Homicídio"
"Um marido mata sua esposa por ela querer pedir divórcio","Feminicídio"
"Um ex-namorado estrangula sua parceira após o término do relacionamento","Feminicídio"
"Um homem mata uma mulher por ela recusar suas investidas amorosas","Feminicídio"
"Um pai mata sua filha por ela se envolver com alguém que ele desaprova","Feminicídio"
"Um homem mata sua parceira por ela ameaçar revelar um segredo comprometedor","Feminicídio"
"Um ex-marido atira em sua ex-mulher por não aceitar o fim do casamento","Feminicídio"
"Um homem mata uma mulher por ela desobedecer suas ordens","Feminicídio"
"Um parceiro mata sua companheira por ela expressar desejo de independência financeira","Feminicídio"
"Um homem mata uma mulher por ela se negar a realizar tarefas domésticas","Feminicídio"
"Um namorado mata sua namorada por ciúmes excessivos e possessividade","Feminicídio"
"Um pai mata sua filha por ela se recusar a seguir os costumes familiares","Feminicídio"
"Um homem mata uma mulher por ela não aceitar sua autoridade e controle sobre ela","Feminicídio"
"Um ex-companheiro mata sua ex-parceira por ela ter um novo relacionamento","Feminicídio"
"Um homem mata uma mulher por ela questionar suas decisões e opiniões","Feminicídio"
"Um marido mata sua esposa por ela ganhar mais dinheiro que ele","Feminicídio"
"Um homem mata uma mulher por ela querer estudar ou trabalhar fora de casa","Feminicídio"
"Um parceiro mata sua parceira por ela defender os direitos das mulheres","Feminicídio"
"Um homem mata uma mulher por ela querer ter filhos contra a vontade dele","Feminicídio"
"Um ex-namorado mata sua ex-namorada por ela se negar a reatar o relacionamento","Feminicídio"
"Um pai mata sua filha por ela se recusar a seguir tradições religiosas ou culturais","Feminicídio"
"Um homem mata uma mulher por ela se negar a obedecer às suas ordens ou caprichos","Feminicídio"
"Um parceiro mata sua parceira por ela querer tomar suas próprias decisões de vida","Feminicídio"
"Um homem mata uma mulher por ela se recusar a se submeter à violência doméstica","Feminicídio"
"Um marido mata sua esposa por ela querer participar de atividades sociais sem ele","Feminicídio"
"Um homem mata uma mulher por ela desejar terminar um relacionamento abusivo","Feminicídio"
"Um ex-marido mata sua ex-esposa por ela querer mudar de cidade para recomeçar a vida","Feminicídio"
"Um pai mata sua filha por ela se recusar a aceitar um casamento arranjado por ele","Feminicídio"
"Um homem mata uma mulher por ela ter uma opinião diferente ou divergente da dele","Feminicídio"
"Um parceiro mata sua parceira por ela se negar a cumprir padrões de beleza impostos","Feminicídio"
"Um homem mata uma mulher por ela desejar terminar um relacionamento abusivo","Feminicídio"
"Um namorado mata sua namorada por ela não querer abrir mão de sua liberdade e autonomia","Feminicídio"
"Um homem mata uma mulher por ela expressar desejo de independência financeira","Feminicídio"
"Um ex-namorado mata sua ex-namorada por ela denunciar o abuso que sofreu dele","Feminicídio"
"Um pai mata sua filha por ela se recusar a se casar com um homem escolhido por ele","Feminicídio"
"Um homem mata uma mulher por ela se negar a aceitar uma relação poligâmica","Feminicídio"
"Um parceiro mata sua parceira por ela querer denunciar a violência doméstica que sofre","Feminicídio"
"Um homem mata uma mulher por ela expressar desejo de liberdade sexual","Feminicídio"
"Um marido mata sua esposa por ela querer se divorciar e obter a guarda dos filhos","Feminicídio"
"Um homem mata uma mulher por ela recusar-se a manter relações sexuais não consensuais","Feminicídio"
"Um ex-marido mata sua ex-esposa por ela querer manter contato com a família dele","Feminicídio"
"Um pai mata sua filha por ela se recusar a abandonar os estudos e se dedicar apenas ao lar","Feminicídio"
"Um homem mata uma mulher por ela se negar a aceitar a poligamia em seu relacionamento","Feminicídio"
"Um parceiro mata sua parceira por ela querer ter autonomia sobre o próprio corpo e decisões reprodutivas","Feminicídio"
"Um homem mata uma mulher por ela expressar desejo de igualdade de direitos e oportunidades","Feminicídio"
"Um ex-namorado mata sua ex-namorada por ela querer se mudar para longe dele","Feminicídio"
"Um pai mata sua filha por ela se recusar a desistir de uma carreira profissional para se dedicar à família","Feminicídio"
"Um homem mata uma mulher por ela se negar a aceitar a violência física, verbal ou psicológica do parceiro","Feminicídio"
"Um parceiro mata sua parceira por ela querer deixar um relacionamento abusivo e iniciar uma nova vida","Feminicídio"
"Um estranho arrasta uma mulher para um beco escuro e a estupra","Estupro"
"Um colega de trabalho droga uma mulher em uma festa da empresa e a estupra","Estupro"
"Um parceiro íntimo força relações sexuais não consensuais com sua parceira","Estupro"
"Um motorista de aplicativo leva uma passageira para um local isolado e a estupra","Estupro"
"Um grupo de homens ataca uma mulher que está voltando para casa sozinha à noite","Estupro"
"Um familiar abusa sexualmente de uma criança enquanto está cuidando dela","Estupro"
"Um instrutor de academia aproveita-se de uma aluna durante uma sessão de treinamento","Estupro"
"Um médico abusa sexualmente de uma paciente enquanto ela está sedada","Estupro"
"Um líder religioso obriga seus seguidores a manter relações sexuais com ele para 'purificação espiritual'","Estupro"
"Um professor utiliza sua posição de autoridade para coagir uma estudante a ter relações sexuais com ele","Estupro"
"Um membro de uma gangue estupra uma mulher como parte de uma iniciação para entrar no grupo","Estupro"
"Um familiar aproveita-se de um parente vulnerável enquanto está sob sua responsabilidade","Estupro"
"Um homem oferece carona a uma mulher e a estupra durante o trajeto","Estupro"
"Um estranho invade a casa de uma mulher e a estupra durante um assalto","Estupro"
"Um psicólogo abusa sexualmente de um paciente durante uma sessão de terapia","Estupro"
"Um padrasto estupra sua enteada enquanto a mãe está ausente","Estupro"
"Um atleta aproveita-se de uma fã durante um encontro nos bastidores","Estupro"
"Um vizinho força-se sobre uma mulher enquanto ela está sozinha em casa","Estupro"
"Um presidiário estupra um companheiro de cela contra a vontade deste","Estupro"
"Um colega de quarto droga o companheiro de quarto e o estupra enquanto está inconsciente","Estupro"
"Um homem oferece emprego a uma mulher em troca de favores sexuais e a estupra no local de trabalho","Estupro"
"Um conhecido utiliza chantagem emocional para convencer uma mulher a manter relações sexuais com ele","Estupro"
"Um líder comunitário abusa sexualmente de membros vulneráveis da comunidade sob sua influência","Estupro"
"Um colega de faculdade embriaga uma estudante em uma festa e a estupra enquanto está inconsciente","Estupro"
"Um grupo de soldados estupra mulheres durante um ataque a uma vila inimiga","Estupro"
"Um cliente aproveita-se de uma garçonete em um restaurante e a estupra nos fundos do estabelecimento","Estupro"
"Um psiquiatra abusa sexualmente de um paciente durante uma consulta de rotina","Estupro"
"Um supervisor utiliza sua posição de autoridade para forçar uma funcionária a ter relações sexuais com ele","Estupro"
"Um instrutor de artes marciais aproveita-se de uma aluna durante uma sessão particular","Estupro"
"Um conhecido engana uma mulher fingindo ser alguém de confiança e a estupra em sua residência","Estupro"
"Um agente de segurança abusa sexualmente de uma pessoa detida em uma delegacia","Estupro"
"Um padrasto estupra sua enteada repetidamente ao longo de vários anos","Estupro"
"Um grupo de homens estupra uma mulher como forma de 'punição' por seu comportamento","Estupro"
"Um namorado força-se sobre sua namorada durante uma discussão intensa","Estupro"
"Um tutor particular abusa sexualmente de um aluno enquanto está dando aulas em sua casa","Estupro"
"Um cliente contrata os serviços de uma prostituta e a estupra durante o encontro","Estupro"
"Um colega de quarto utiliza-se da intimidade do ambiente compartilhado para estuprar o outro colega","Estupro"
"Um terapeuta abusa sexualmente de um paciente enquanto está sob seu cuidado","Estupro"
"Um estranho ataca e estupra uma mulher que está caminhando sozinha à noite","Estupro"
"Um colega de trabalho força uma funcionária a ter relações sexuais no escritório","Estupro"
"Um motorista de aplicativo abusa sexualmente de uma passageira durante uma viagem","Estupro"
"Um membro da família estupra uma adolescente dentro de casa","Estupro"
"Um namorado força sua parceira a ter relações sexuais contra a vontade dela","Estupro"
"Um líder religioso abusa sexualmente de um fiel durante uma sessão de aconselhamento","Estupro"
"Um homem embriagado estupra uma mulher inconsciente em uma festa","Estupro"
"Um professor abusa sexualmente de um aluno em troca de notas melhores","Estupro"
"Um padrasto estupra sua enteada repetidamente ao longo de vários anos","Estupro"
"Um estranho droga uma pessoa e a estupra enquanto ela está inconsciente","Estupro"
